gate error,gate fidelity,ellipsoid robustness,ellipsoid error bar,QPT robustness,QPT error bar,GST robustness,GST error bar
0.0,0.9970782376090722,0.9752469101261922,0.0024010519715778,0.9554534392973868,0.0081496264257966,0.9665492441171812,0.002449570958815968
0.01,0.9962544664969716,0.974150928560492,0.0027131870805705,0.6343766315564138,0.0120603839240822,0.967804325437028,0.002518396481483406
0.02,0.9961015145578612,0.975596135747146,0.002424461588981,0.8433024299797462,0.0085856809325186,0.9652981645833943,0.0026128311703354635
0.03,0.9960716479294836,0.9705101613706124,0.0025295810224623,0.8633626207294033,0.0075538598828187,0.9644285305240631,0.002282558902202725
0.04,0.9936925528898136,0.949697333499101,0.0019726429199844,0.8874305063436172,0.0077969174823406,0.9663799127934452,0.002641039622625654
0.05,0.9883045383829788,0.9620227073953384,0.0029623677331247,0.9103634122182036,0.0068959788860937,0.9647268904501095,0.0022944320418852152
0.06,0.9892213394593046,0.9569082846163114,0.0030129982257615,0.9006346984146409,0.0064904816258627,0.9660373024067985,0.0025939305635389455
0.07,0.9871942836677188,0.9555546052076502,0.0024939847608424,0.8008964877635679,0.0064471872929709,0.9637669822539813,0.003433144084157809
0.08,0.9837338497324823,0.9803020578887808,0.002558237746021,0.7935176443775993,0.0079394014351875,0.9662368879138351,0.002835759193877211
0.09,0.97996720787691,0.9767174476005802,0.0024268574679409,0.8563962541827774,0.0078615879065963,0.962261190248453,0.002897977163000136
0.1,0.9768092530988228,0.98146549866125,0.0021587405009865,0.9211883904597598,0.005909407859363,0.9632070269399143,0.0032686568579950053
0.11,0.969774469253667,0.9818278740897648,0.0025429567366769,0.7803784962463947,0.0078226411060366,0.9626176992582445,0.002962326896563416
0.12,0.9679697934542691,0.9717524235935628,0.0021396055856296,0.8580200650660488,0.0072602709287002,0.9644831824441716,0.0028547043549079164
0.13,0.9613911036610288,0.9589520677631608,0.0039612649148367,0.8976874568704308,0.0057018347064893,0.9620165447470792,0.002978135620696657
0.14,0.9529680423598108,0.9626280983019004,0.0039465832459235,0.8798614985783294,0.0059906694949004,0.9616373423677784,0.003435064952732609
0.15,0.9499534948427528,0.9755878282324376,0.0032718252632353,0.874293794799284,0.0066639326448929,0.9608093173925671,0.0033644899292489283
0.16,0.9456112059067854,0.9677864074258417,0.0023109115589718,0.6632129373564617,0.0073533376177864,0.9631885240276528,0.003511193458330494
0.17,0.9410337180701844,0.9692313240089956,0.0019191457999619,0.7378816203894193,0.0081803641847369,0.9610789483593163,0.003299364713753758
0.18,0.9260750528714976,0.9458091483042934,0.0030650747601664,0.5910458861740758,0.0077831756517964,0.9600098334577281,0.004261598554238242
0.19,0.9157527638378572,0.9541193219285908,0.0037440815782612,0.8432995550818854,0.0069307930948367,0.9552063031870646,0.004160976805091804
0.2,0.9034208914518674,0.9774789899703532,0.0024856467231726,0.8262983679636551,0.0075748541671713,0.9609619776896959,0.004236521121593943
0.21,0.901144385233426,0.972822017095024,0.0032779690103805,0.84644883884688,0.00624830564649,0.9583085005677401,0.0038982466122033797
0.22,0.8883802517989896,0.9788568995905732,0.0024926121622156,0.8343037050790079,0.0058982430292109,0.9619447807661312,0.003951294342387105
0.23,0.8716309302757846,0.9689877183773424,0.0023754683390267,0.8332688667493763,0.0074929922228022,0.9626996718152598,0.004001983500921101
0.24,0.864979641042393,0.9541252528867228,0.0019662494892142,0.7650997529341257,0.0072847428384348,0.9580513873313272,0.004565509121336829
0.25,0.8464661190922466,0.9767872566583417,0.0029982538770253,0.8080064339770141,0.0068966785107757,0.9608121004260507,0.0035314115556173502
0.26,0.8402717939537581,0.954232708141214,0.0022075597919674,0.3767353388118197,0.008402447513036,0.9576100918618295,0.00404330503048761
0.27,0.8222934004447232,0.955786158779945,0.0029715333932128,0.805748085568737,0.007272920150233,0.9608873372904398,0.004108093307822815
0.28,0.8166765180606654,0.969729430324985,0.0029216888049858,0.6757021166947991,0.0077282559276673,0.9574102925451193,0.003973764336213866
0.29,0.7898701314420333,0.9725384449037148,0.0032409215441806,0.6878409777615666,0.0066846717524001,0.9571741073544103,0.00402872413606902
0.3,0.7934350569574095,0.9767199182631524,0.0031826068275793,0.7124796053772847,0.0081308141402917,0.957605068515625,0.00432856422812864
