gate_error,gate_fidelity,state_1,state_0,state_plus,state_iplus
0.0,0.9971727839050623,0.9741311878203649,0.9976372378084843,0.9755809689058704,0.9961410875956005
0.010000000000000009,0.9982344618503551,0.9858768891931343,0.9998149578419782,0.9548885401501388,0.9788862493735437
0.020000000000000018,0.9982346142973709,0.9658491526998383,0.9999834831735392,0.9724722083479467,0.9924993222587337
0.030000000000000027,0.9967987788163437,0.9870194053175313,0.9994220377626156,0.9598616451713644,0.9787666026143027
0.040000000000000036,0.9960102709128085,0.9736412497582363,0.9995327563298207,0.9737898675592529,0.9973294128734196
0.050000000000000044,0.9941058437546311,0.95558370775341,0.9793164593846873,0.913322101962531,0.9569934906540567
0.06000000000000005,0.992468191531568,0.9645682261332303,0.9998070906422843,0.9780630219379166,0.979421607643462
0.07000000000000006,0.9886570011941302,0.9684517414162501,0.9999630326805937,0.9807277698708328,0.9877039377290449
0.08000000000000007,0.9852911432215931,0.9714925628724944,0.9998665384551102,0.9774494427937243,0.9907413949556905
0.09000000000000008,0.9853249913133826,0.9622411558735063,0.9912417656862806,0.9660497925296087,0.9877785518272733
0.10000000000000009,0.9806836099155855,0.9530600946459102,0.9999606684935987,0.9675923248900413,0.9752757954593969
0.1100000000000001,0.9745024870490057,0.9571477589567332,0.9997948224372035,0.9845711932205325,0.9824528991453564
0.1200000000000001,0.9717936556496085,0.9554775080307332,0.9955146377058602,0.9578049941692763,0.9639422033988185
0.1299999999999999,0.9625052291806628,0.9359640793161951,0.9944970504827044,0.9577512887709045,0.9734802185988656
0.1399999999999999,0.9665975873617554,0.9303070175189045,0.9989424924500868,0.9684694371265371,0.990116523102435
0.1499999999999999,0.9578498253232715,0.9325382605953156,0.9998330251533718,0.9582670271618576,0.9716911362042839
0.15999999999999992,0.9530754513090614,0.9107745572328353,0.9850068635903003,0.9461651530590061,0.9511896715061282
0.16999999999999993,0.9513438897208211,0.9203032346072968,0.9981418880851993,0.9814428683409525,0.9885689952015313
0.17999999999999994,0.9442712581507848,0.9023425372255895,0.999483650412688,0.9593484255268391,0.9791523486620802
0.18999999999999995,0.937081814112399,0.9016347559721045,0.9989352229678253,0.9587268175433821,0.9753871717195908
0.19999999999999996,0.9419873922460601,0.8596021577609383,0.9879933587012837,0.9871761253582476,0.9892014628030269
0.20999999999999996,0.927839647578106,0.8520654435350479,0.9991250443645373,0.9302441364382514,0.976825985162832
0.21999999999999997,0.9129253283468746,0.8666827922256899,0.9998714047555938,0.9523589148881455,0.9473765450103987
0.22999999999999998,0.8965061975548959,0.8439117940915662,0.9914361004044631,0.9407603998353334,0.9362827185754398
0.24,0.8971394755081425,0.8289862979167428,0.9992687021289322,0.9424806581752998,0.970686868937661
0.25,0.8824337763239796,0.8206105234063114,0.9745952835890717,0.9029139723750166,0.9195207499773381
0.26,0.8702014834113764,0.804408496964645,0.9997087668859166,0.9306788874460152,0.9595146243845445
0.27,0.8747203486320935,0.7837641667204973,0.9974087130229992,0.9701134068988501,0.9733306576307037
0.28,0.8537134039715453,0.7893491515479478,0.9999888369288995,0.9418158907043717,0.9363158666002411
0.29000000000000004,0.8456220086297443,0.78251105739896,0.9996915990234835,0.9318935805771802,0.9275232615218412
0.30000000000000004,0.8382908430869087,0.7650580924044813,0.9999774983706851,0.9259706720684533,0.9302268615298318
