,gate error,gate fidelity,ellipsoid robustness,ellipsoid error bar,QPT robustness,QPT error bar,gst robustness
0,0.0,0.9973365062188456,0.9734185726121344,0.0010561096433047,0.9556368147318448,0.0069457298384983,0.9673732971550286
1,0.01,0.996372185213764,0.975335351219698,0.0017793416558072,0.9542098683444976,0.0116750288737608,0.968658528064916
2,0.02,0.9963652089190494,0.9776909961889692,0.0007250512234963,0.926607132973558,0.0115409488908736,0.9664543997290114
3,0.03,0.9957663840220368,0.9728871458414824,0.0007821726199563,0.9138150437973026,0.0121604488338941,0.965001034601463
4,0.04,0.9943128625094966,0.9506141946367878,0.0012873804699569,0.8944450408583039,0.0080857809950392,0.9671665978761312
5,0.05,0.9876702467040452,0.9650364825930692,0.0002273502175354,0.8538991314778762,0.0117490415304948,0.9648261628639461
6,0.06,0.9902468959153022,0.9595805283934492,0.0013152764017462,0.8651286541663333,0.0114509033527167,0.9665932189779249
7,0.07,0.9874165486675514,0.9571653988315773,0.0007432118556269,0.8395913806024407,0.0104321181960294,0.9644647439761116
8,0.08,0.983699514475544,0.982150531658093,0.0006275616927887,0.8690514145737852,0.0080398651078863,0.9671891835553146
9,0.09,0.9788272482801664,0.979132501179638,0.0005627048481183,0.8182820280808546,0.0110563983034843,0.9627486780851027
10,0.1,0.977474544626962,0.9835125389736856,0.0011093035392901,0.8368009669414087,0.0069671855663999,0.9641012355969352
11,0.11,0.970052020068428,0.980532465847356,0.0026838738005235,0.7960036366642,0.0097949916538996,0.9633471355197529
12,0.12,0.9671857688270492,0.9716712810442782,0.0015072833361457,0.766046912357291,0.0120671726585748,0.965051247407517
13,0.13,0.9621779357318736,0.9616418329930648,0.0012675395298585,0.7558421454854803,0.0151852401696771,0.9627809984812181
14,0.14,0.953630995659274,0.965818909577653,0.0005262330609288,0.7361712340554087,0.0173860896650237,0.9623225439985541
15,0.15,0.950232315998741,0.974901361416552,0.0016640452469257,0.704319223327658,0.0139684456322977,0.9615559455868188
16,0.16,0.9440048008980264,0.9690775116727544,0.0013225773805086,0.7084708610677003,0.0136534581995754,0.9640968701305304
17,0.17,0.9407612941031004,0.9704118087492434,0.0006305922877168,0.72674366189472,0.0112008564786444,0.962039594423455
18,0.18,0.9266276831383304,0.9460295584346587,0.0010644104204465,0.6976752911373204,0.0142466125404331,0.960867725790912
19,0.19,0.9162579756158742,0.9557863599289153,0.0015717507687946,0.6772556203256148,0.0129754233590518,0.9560325185682417
20,0.2,0.9028427014508494,0.9796298093261192,0.0006268962629179,0.6326575846074997,0.0087016344128358,0.9618012091831964
21,0.21,0.900908244277433,0.9733460425046034,0.0019262689297626,0.6523039786509152,0.0092089798957992,0.9593094223973817
22,0.22,0.8867069052361531,0.980270488434292,0.0011811763349129,0.6053097167970408,0.0124060687692774,0.9626437909109429
23,0.23,0.8722967488134301,0.9709236842517668,0.0008905596984611,0.6119780825803114,0.0136784289324676,0.9631682085495721
24,0.24,0.8651640121030649,0.9559084180092317,0.0008986946503308,0.5865104645738884,0.0101161266907997,0.9588899111719931
25,0.25,0.8460551617760592,0.9790506944332432,0.0006395524486042,0.5675273371870372,0.0135458779032536,0.9618472920229038
26,0.26,0.8409558919379659,0.9567675478421042,0.0007188515663589,0.5582245218550737,0.0106129611198459,0.9583186958284162
27,0.27,0.824238231671751,0.9584307916410304,0.0006826948050055,0.5404833982521156,0.0134546091487057,0.9609093602963341
28,0.28,0.8188674794344756,0.9710094485741764,0.0008746042942707,0.5343402143201045,0.01213466365037,0.9585738408331976
29,0.29,0.7922639581432164,0.9756208826081288,0.0005657501348516,0.510866742223884,0.010370447508912,0.9576428432830528
30,0.3,0.7925433634390406,0.9756957494985392,0.003617699391923,0.4637384088594435,0.0073916207537168,0.9578958985025572
