gate error,gate fidelity,ellipsoid robustness,ellipsoid error bar,QPT robustness,QPT error bar
0.0,0.9695951883888211,0.9436599408936417,0.038661493471866044,0.8383802080883549,0.010645114056447247
0.01,0.9663066085038393,0.9556897397647605,0.01946459824684601,0.8222806996814035,0.00968642466069452
0.02,0.9679459332500021,0.9289992215954266,0.07269625447249604,0.7988724515725365,0.011268073374934708
0.03,0.9679064644892614,0.9532416223463431,0.010673232933593837,0.8114184272505515,0.00959981378591389
0.04,0.9668294146139353,0.9290093777725239,0.01685920140411685,0.8032448845282677,0.00979480089760141
0.05,0.9588480797559277,0.9241593466317891,0.03212346972430773,0.78801105351669,0.01198086103113073
0.06,0.9649698139438183,0.922786046515654,0.03177845725785386,0.7418084602143692,0.011557957718151811
0.07,0.9559289854211751,0.9095137469244059,0.06737167344864141,0.7557771795604407,0.01045213922655886
0.08,0.9494058237638302,0.8818920630706873,0.12953543200535048,0.7586199496792776,0.010965070948813722
0.09,0.9455465868987197,0.9461066551501398,0.058652499511854625,0.7515395639206173,0.011035774937252859
0.1,0.9362181976307725,0.8800733259315142,0.130664264505933,0.7081726021087492,0.012692003298890208
0.11,0.9376987045337247,0.9221577120558674,0.061572716179899005,0.7102159665334016,0.011751360220412595
0.12,0.9285553156985803,0.9534107147844635,0.016045316204351893,0.6971718351805822,0.011483412720243443
0.13,0.9185091594834921,0.947220403226609,0.013629600015249658,0.6648077085612194,0.010704057350513026
0.14,0.91761893049876,0.9276919769494928,0.029704775575544247,0.6496798734153539,0.012074057337209159
0.15,0.9046466679240468,0.937205866843351,0.03466168040382582,0.6297116441075776,0.012173360744544863
0.16,0.8948133966841588,0.9349151456482504,0.035151719763476315,0.621822202843387,0.01322986326381913
0.17,0.8860328257393566,0.9312161393532982,0.035010335151332714,0.6258855734544245,0.012273259565007076
0.18,0.8817923733275268,0.919199793724302,0.026482254415727824,0.5909656743618303,0.01411562048591557
0.19,0.8770972319132868,0.921566031033756,0.028979807004988752,0.5856827409433074,0.011640230184400168
0.2,0.8667023557523922,0.9170453350380877,0.0527140309881809,0.5802037285049892,0.012060534022057996
0.21,0.8568708099325656,0.9389594262150197,0.03299004206430867,0.5860127251386875,0.012270397390452213
0.22,0.8456298497515118,0.9119726052295676,0.0779160545245682,0.5519690224000684,0.012226501429139686
0.23,0.8267097942112163,0.9402117216318092,0.028353192958751248,0.5425115954694759,0.011375736037463204
0.24,0.831718342427831,0.9107510030156802,0.02978976165327905,0.557012464251389,0.01126891807895561
0.25,0.8067910241414556,0.9193245788578106,0.07039910612059494,0.5270675981884618,0.011923020686693748
0.26,0.819244371512429,0.9227076883691109,0.028831248983992877,0.531794729092617,0.012764879915215044
0.27,0.7980954523503911,0.9264494891948136,0.029798583030569054,0.5320285138119639,0.01273598527441487
0.28,0.7870001483140738,0.944267232953243,0.02386405644294768,0.49913613748719954,0.011269725814826971
0.29,0.7695662843760108,0.9448866077665147,0.0340664057609916,0.5105488753435169,0.011225608654859557
0.3,0.7697726263471435,0.943852023954487,0.029706627706560837,0.48984097209128613,0.011621946888483007
